timestamp,hand_number,bankroll,change,bet_size,true_count,method,session_pnl
2025-12-29 01:13:42,222,815.0,-80.0,80.0,4.32,spread,-185.0
2025-12-29 01:13:44,223,655.0,-160.0,80.0,4.59,spread,-345.0
2025-12-29 01:13:45,224,755.0,100.0,100.0,4.07,spread,-245.0
2025-12-29 01:13:46,225,675.0,-80.0,80.0,4.35,spread,-325.0
2025-12-29 01:13:48,226,595.0,-80.0,80.0,4.22,spread,-405.0
2025-12-29 01:13:49,227,435.0,-160.0,80.0,4.91,spread,-565.0
2025-12-29 01:13:50,228,235.0,-200.0,100.0,5.2,spread,-765.0
2025-12-29 01:13:52,229,135.0,-100.0,100.0,5.07,spread,-865.0
2025-12-29 01:13:55,230,35.0,-100.0,100.0,4.94,spread,-965.0
2025-12-29 01:13:56,231,0.0,-35.0,35.0,4.37,spread,-1000.0
